,date,extend,id,days_from_start,month,day_of_week,cat_id,prate_avg,csdsf_avg,csdlf_avg,csulf_avg,dswrf_avg,dlwrf_avg,uswrf_avg,ulwrf_avg,runof_avg,sst_avg,sf,air_avg,shum_avg,csusf_avg,cslnet_avg,cssnet_avg,lnet_avg,snet_avg
57,1986/10/1,9.483933333,1,2830,10,2,1,2.606144428,207.4132385,267.0006104,245.7064514,163.7938538,291.6178589,33.77403641,352.2795715,6.61E+19,12.31044769,7,277.7936096,0.007477931,38.22504807,21.294159,169.1881904,-60.6617126,130.0198174
58,1986/11/1,11.45326667,1,2861,11,5,1,2.544937849,229.4397278,263.5473633,245.2504883,183.3005524,287.8739929,47.31846619,348.9384766,6.61E+19,11.94894886,20.3,277.1118469,0.007226745,52.10333633,18.296875,177.3363915,-61.0644837,135.9820862
59,1986/12/1,13.2224375,1,2891,12,0,1,2.536074162,242.3942719,262.190033,245.3570557,193.5608978,286.104248,52.42907333,347.3960876,6.61E+19,11.78275585,13,276.7635498,0.007178839,57.13650513,16.8329773,185.2577668,-61.2918396,141.1318245
60,1987/1/1,14.9698,1,2922,1,3,1,2.536087275,236.0048828,262.3783875,245.6825562,186.746994,285.9051514,46.38552094,346.5445557,6.61E+19,11.77347946,21.4,276.5401306,0.007238747,50.84859848,16.6958313,185.1562843,-60.6394043,140.3614731
61,1987/2/1,16.05014286,1,2953,2,6,1,2.526671886,216.9963226,262.1655579,244.378952,169.0110474,285.0803833,35.02399445,345.2185669,6.61E+19,11.84960651,23.7,275.9711914,0.007323815,39.44044495,17.7866059,177.5558777,-60.1381836,133.987053
62,1987/3/1,15.8159375,1,2981,3,6,1,2.524926662,200.6287842,262.4393311,242.9572144,156.5292511,285.1184692,28.10225677,345.9486084,6.61E+19,11.89664078,23,275.8494263,0.007374051,32.3255806,19.4821167,168.3032036,-60.8301392,128.4269943
63,1987/4/1,15.21086667,1,3012,4,2,1,2.534996986,202.6135559,267.1163025,245.2641754,160.5695038,289.6808472,33.8409996,351.4703369,6.61E+19,11.9483099,16.3,277.1838989,0.007511715,38.49885178,21.8521271,164.1147041,-61.7894897,126.7285042
64,1987/5/1,13.74293333,1,3042,5,4,1,2.619411945,213.2392426,274.8908386,248.3221893,169.0916443,299.9381104,39.33491898,360.0086365,6.61E+19,12.12177277,0,279.1194458,0.007834233,45.4468689,26.5686493,167.7923737,-60.0705261,129.7567253
65,1987/6/1,12.48566667,1,3073,6,0,1,2.74179554,218.0163269,282.0656738,251.8608398,167.1247101,308.6329346,33.7795639,366.5184631,6.61E+19,12.38788033,0,280.7325745,0.008241015,41.8855629,30.204834,176.130764,-57.8855285,133.3451462
66,1987/7/1,10.3325625,1,3103,7,2,1,2.793117046,213.2871857,285.5228577,252.5218964,160.6876984,311.5699463,29.26508141,368.3384094,6.61E+19,12.85021591,0,281.0639954,0.008530051,37.8624115,33.0009613,175.4247742,-56.7684631,131.422617
67,1987/8/1,7.499904762,1,3134,8,5,1,2.745252132,202.6597595,282.2086792,250.831543,153.4160614,308.4319153,25.18111801,365.5847168,6.61E+19,13.14405155,0,280.2086792,0.008447249,31.81858635,31.3771362,170.8411732,-57.1528015,128.2349434
68,1987/9/1,7.2787,1,3165,9,1,1,2.680406809,195.9564056,274.6201172,247.9365845,151.8843079,299.2758789,24.60334206,359.2860413,6.61E+19,12.98113918,0,278.9753723,0.007997443,29.15149879,26.6835327,166.8049068,-60.0101624,127.2809658
69,1987/10/1,9.048774194,1,3195,10,3,1,2.624432087,207.346283,267.6384888,245.4960022,163.3841858,291.8592529,34.25049973,352.4004211,6.61E+19,12.51153088,0,277.8001709,0.007545707,38.65764236,22.1424866,168.6886406,-60.5411682,129.1336861
70,1987/11/1,11.22403333,1,3226,11,6,1,2.560899258,229.6791992,263.4382324,244.4243774,183.5830688,287.0370483,48.18608093,348.3683167,6.61E+19,12.17630672,13.5,276.7587585,0.007323821,52.96907806,19.013855,176.7101211,-61.3312684,135.3969879
71,1987/12/1,12.5405,1,3256,12,1,1,2.559949398,242.1994171,263.8457642,246.3603973,192.7555084,287.5336914,51.75617981,348.3146362,6.61E+19,11.9950552,27.5,276.9464417,0.00732037,56.48102951,17.4853669,185.7183876,-60.7809448,140.9993286
72,1988/1/1,15.09047368,1,3287,1,4,1,2.520138741,235.9004364,263.7118835,244.7882843,186.2378693,287.020813,46.1083107,347.4251099,6.61E+19,12.01976395,6.5,276.7286682,0.007376601,50.51487732,18.9235992,185.3855591,-60.4042969,140.1295586
73,1988/2/1,15.58337931,1,3318,2,0,1,2.508657694,216.8473053,263.098999,243.898941,169.4328918,286.4098816,35.02013016,346.6040955,6.61E+19,12.02250767,16.7,276.3318481,0.007393291,39.30260086,19.200058,177.5447044,-60.1942139,134.4127616
74,1988/3/1,15.95722581,1,3347,3,1,1,2.568272591,200.3613281,264.1300354,244.2373505,155.730423,287.1361694,27.88842201,347.3644409,6.61E+19,12.02504253,24.9,276.3528137,0.007460792,32.22348022,19.8926849,168.1378479,-60.2282715,127.842001
75,1988/4/1,15.12333333,1,3378,4,4,1,2.595845938,202.7174988,268.1218262,245.455658,160.2905121,291.3423157,33.80825806,352.4610901,6.61E+19,12.05695152,4.7,277.4779663,0.007579716,38.54732513,22.6661682,164.1701737,-61.1187744,126.482254
76,1988/5/1,13.56087097,1,3408,5,6,1,2.622360945,213.2187653,276.3256531,249.5483551,168.0611725,301.8851013,37.75637817,361.6958923,6.61E+19,12.19504166,1,279.5081787,0.007860238,44.2025795,26.777298,169.0161858,-59.810791,130.3047943
77,1988/6/1,11.94343333,1,3439,6,2,1,2.757116795,217.962738,282.289856,251.7432556,166.9339447,308.7039185,33.0487709,366.7185059,6.61E+19,12.49639606,0,280.6702576,0.00821071,41.48501587,30.5466004,176.4777221,-58.0145874,133.8851738
78,1988/7/1,9.808677419,1,3469,7,4,1,2.825495005,212.958313,285.6820068,252.4128571,160.3900452,311.6981506,28.90895844,367.7597961,6.61E+19,12.9316864,0,280.8871765,0.008545913,37.27429962,33.2691497,175.6840134,-56.0616455,131.4810868
79,1988/8/1,7.891580645,1,3500,8,0,1,2.782420158,202.3170776,283.1168213,251.6562042,152.6995087,309.2513428,24.89334869,366.0061035,6.61E+19,13.11278343,0,280.5926819,0.008466197,31.69450378,31.4606171,170.6225738,-56.7547607,127.80616
80,1988/9/1,7.369,1,3531,9,3,1,2.733417988,195.7863922,276.2689819,249.5096283,151.2292023,301.9524536,24.16848564,360.3493652,6.61E+19,12.89092159,0,279.3612671,0.007978218,28.9066925,26.7593536,166.8796997,-58.3969116,127.0607167
81,1988/10/1,9.135032258,1,3561,10,5,1,2.595356941,207.5124969,268.163147,246.6543427,164.5203552,292.1223145,34.42412186,353.2256165,6.61E+19,12.40052605,0,278.0925903,0.007448221,38.73813248,21.5088043,168.7743644,-61.103302,130.0962333
82,1988/11/1,11.33083333,1,3592,11,1,1,2.547744513,229.6888885,262.9222412,245.3069458,184.3657379,286.4577637,48.34730148,348.4543762,6.61E+19,11.98082542,5.7,276.9702148,0.007117955,53.04326248,17.6152954,176.645626,-61.9966125,136.0184364
83,1988/12/1,13.62554839,1,3622,12,3,1,2.544446945,242.2191772,262.3566284,244.9825592,193.0073395,286.4085083,52.25814438,347.5946045,6.61E+19,11.78694725,31.5,276.8830872,0.007141167,57.42910004,17.3740692,184.7900772,-61.1860962,140.7491951
84,1989/1/1,14.95480645,1,3653,1,6,1,2.49890995,235.7732849,260.4669189,243.7854156,187.1689453,283.62146,46.03639603,345.0564575,6.61E+19,11.79194736,14.2,276.1480713,0.00716077,50.53343582,16.6815033,185.2398491,-61.4349975,141.1325493
85,1989/2/1,15.49553571,1,3684,2,2,1,2.557039976,216.7479706,262.1696167,244.5379944,169.4798431,285.4744873,35.10716248,346.4024658,6.61E+19,11.85311127,14.8,276.3991699,0.007181934,39.30283356,17.6316223,177.445137,-60.9279785,134.3726806
86,1989/3/1,15.42329032,1,3712,3,2,1,2.504845858,200.3200226,263.7778931,244.0302734,156.1731873,287.0233154,27.45136452,347.6165161,6.61E+19,11.88597584,10.5,276.3599243,0.00733482,31.77867508,19.7476197,168.5413475,-60.5932007,128.7218228
87,1989/4/1,14.3284,1,3743,4,5,1,2.546128035,202.6474457,267.5165405,245.2958984,160.368454,290.7137451,33.42902756,352.0515747,6.61E+19,11.96950245,15.8,277.4821472,0.007501826,38.16336823,22.2206421,164.4840775,-61.3378296,126.9394264
88,1989/5/1,13.04412903,1,3773,5,0,1,2.620398283,213.4518738,273.6159363,248.0763245,168.5069122,298.9629822,38.90384293,359.3980713,6.61E+19,12.14852333,0,278.9586487,0.007750881,45.4581871,25.5396118,167.9936867,-60.4350891,129.6030693
89,1989/6/1,12.24453333,1,3804,6,3,1,2.730015039,218.2397308,280.0188904,250.4770966,167.8156281,306.5611877,33.75289536,364.9943848,6.61E+19,12.41463947,0,280.2436218,0.008154834,42.13566971,29.5417938,176.1040611,-58.4331971,134.0627327
90,1989/7/1,10.12970968,1,3834,7,5,1,2.803206682,213.2452087,284.6517334,251.8656769,160.9988708,310.6555481,28.95916748,367.670105,6.61E+19,12.89637184,0,280.8904419,0.008465089,37.58540344,32.7860565,175.6598053,-57.0145569,132.0397033
91,1989/8/1,7.881774194,1,3865,8,1,1,2.733134747,202.4177856,282.982666,251.012558,153.3848724,309.1371765,24.96508217,366.0900269,6.61E+19,13.11118889,0,280.4904785,0.00844239,31.81571198,31.970108,170.6020736,-56.9528504,128.4197902
92,1989/9/1,7.008333333,1,3896,9,4,1,2.706198454,195.9066772,275.8123474,248.6565247,151.7362671,301.8716431,24.17448235,360.6565247,6.61E+19,12.95808983,0.5,279.4034729,0.007956396,28.96567917,27.1558227,166.940998,-58.7848816,127.5617847
93,1989/10/1,8.828903226,1,3926,10,6,1,2.582645655,207.6404419,267.6795044,245.9838104,164.0858612,291.9154053,34.22655869,353.0930481,6.61E+19,12.40610218,8.9,278.0079651,0.007454802,38.71222305,21.695694,168.9282189,-61.1776428,129.8593025
94,1989/11/1,11.11523333,1,3957,11,2,1,2.532480478,229.6890106,263.0717468,244.7131653,183.9441986,287.0089417,48.06816483,348.6633911,6.61E+19,12.05497074,1.8,276.9671631,0.007235031,52.9103775,18.3585815,176.7786331,-61.6544494,135.8760338
95,1989/12/1,13.38680645,1,3987,12,4,1,2.53636241,242.1509399,263.809845,245.7619324,193.1985779,287.3959045,52.30934525,348.690979,6.61E+19,11.87112331,21.6,277.1940308,0.007198136,57.08913422,18.0479126,185.0618057,-61.2950745,140.8892327
